,Accuracy,Loss
0,0.611,521.8221656084061
1,0.6143,368.3327285051346
2,0.6282,342.6109719276428
3,0.6338,334.307247787714
4,0.6456,325.3334029316902
5,0.6557,325.1011719405651
6,0.6547,315.7841072678566
7,0.6595,313.7019275724888
8,0.6732,312.14101162552834
9,0.6758,311.7797107696533
10,0.6716,312.23111775517464
11,0.6845,308.2042052447796
12,0.6821,300.96639066934586
13,0.6847,307.9990257322788
14,0.6907,297.291292399168
15,0.6897,301.52453076839447
16,0.6946,301.51611563563347
17,0.696,298.1213181614876
18,0.6947,297.9617391526699
19,0.6953,297.87517485022545
20,0.6972,296.3173505663872
21,0.7002,295.64756616950035
22,0.7006,294.235820710659
23,0.6997,292.9683614373207
24,0.7043,290.48617628216743
25,0.7081,295.15891593694687
26,0.7038,291.5479016304016
27,0.709,289.07921040058136
28,0.6887,287.52791860699654
29,0.7093,293.8138687610626
30,0.7077,288.31052500009537
31,0.7123,291.31589207053185
32,0.7132,287.59170576930046
33,0.7088,287.56842690706253
34,0.7161,287.3765107989311
35,0.7145,290.0801478922367
36,0.7135,287.4827988743782
37,0.7156,284.17036336660385
38,0.7133,285.2467346191406
39,0.7179,286.4992136359215
